Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
3_18,3,18,202.4220,208.7586,3.3742,104.8430,117.5172,6.7487,3.7628,4.0796,0.1687,9.5803,143.6547,140.9712
3_19,3,19,204.1390,208.0187,2.0229,108.2790,116.0372,4.0455,3.9820,4.1759,0.1011,9.7830,85.8432,159.4681
3_20,3,20,209.7480,215.8591,2.3750,119.4970,131.7186,4.7498,4.0624,4.3680,0.1187,9.9659,44.6422,108.4907
4_5,4,5,67.3024,67.3024,0.0000,34.6048,34.6048,0.0000,1.1901,1.1901,0.0000,5.2734,5.3129,0.0282
4_6,4,6,78.0244,78.0244,0.0000,56.0488,56.0488,0.0000,1.7512,1.7512,0.0000,5.7425,5.8449,0.1080
4_7,4,7,78.1791,78.1791,0.0000,56.3583,56.3583,0.0000,1.8673,1.8673,0.0000,5.5163,5.6186,0.0531
4_8,4,8,69.6393,69.6393,0.0000,39.2787,39.2787,0.0000,1.5403,1.5403,0.0000,6.6598,6.7582,0.0816
4_9,4,9,133.7770,133.7770,0.0000,67.5543,67.5543,0.0000,2.2639,2.2639,0.0000,6.1508,20.4807,30.0145
4_10,4,10,135.4020,135.7970,0.4164,70.8039,71.5942,0.8330,2.3368,2.3565,0.0208,6.2179,45.2066,41.0511
4_11,4,11,131.3840,131.6581,0.3508,62.7671,63.3156,0.7015,2.2942,2.3079,0.0175,6.8901,38.4177,33.2165
4_12,4,12,132.3370,134.5353,1.5773,64.6747,69.0710,3.1545,2.4669,2.5768,0.0789,6.4908,45.3606,40.8545
4_13,4,13,137.9380,142.1708,2.0682,75.8765,84.3419,4.1366,2.8053,3.0169,0.1034,6.7109,46.8958,42.3134
4_14,4,14,194.9690,198.8039,1.8144,89.9371,97.6077,3.6290,3.2818,3.4735,0.0907,8.4604,57.3231,78.4110
4_15,4,15,141.2960,142.6098,0.7936,82.5913,85.2197,1.5872,3.0065,3.0722,0.0397,7.5586,46.7753,62.8356
4_16,4,16,144.8570,146.2924,1.0924,89.7149,92.5850,2.1847,3.3512,3.4230,0.0546,7.9976,66.2786,40.3421
4_17,4,17,144.5660,146.4181,0.8529,89.1326,92.8365,1.7058,3.2200,3.3126,0.0426,7.8639,19.4323,35.6127
4_18,4,18,149.3540,152.5257,1.6855,98.7075,105.0511,3.3712,3.4760,3.6346,0.0843,8.2423,59.6924,66.2955
4_19,4,19,156.4290,161.4918,2.6565,112.8580,122.9834,5.3129,4.0715,4.3246,0.1328,8.4305,28.7503,42.7312
4_20,4,20,165.0310,166.9611,1.5846,130.0620,133.9223,3.1694,4.5349,4.6314,0.0792,8.7480,39.0513,48.6849
