Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
1_14,1,14,221.861,143.721,4.65137,20000,7.30583,1
1_15,1,15,208.951,117.903,3.93924,20000,8.04327,1
1_15,1,15,208.539,117.079,3.91863,20000,8.10842,1
1_15,1,15,208.951,117.903,3.93924,20000,8.10295,1
1_15,1,15,208.539,117.079,3.91863,20000,8.22573,1
1_15,1,15,208.539,117.079,3.91863,20000,8.2875,1
1_15,1,15,208.951,117.903,3.93924,20000,8.20291,1
1_15,1,15,208.539,117.079,3.91863,20000,8.14326,1
1_15,1,15,208.539,117.079,3.91863,20000,8.2213,1
1_15,1,15,208.539,117.079,3.91863,20000,8.24757,1
1_15,1,15,208.72,117.44,3.92766,20000,8.23213,1
1_16,1,16,216.054,132.107,4.41102,20000,8.73832,1
1_16,1,16,216.054,132.107,4.41102,20000,8.83029,1
1_16,1,16,216.054,132.107,4.41102,20000,8.12097,1
1_16,1,16,217.508,135.016,4.48373,20000,8.09189,1
1_16,1,16,216.054,132.107,4.41102,20000,8.00242,1
1_16,1,16,217.508,135.016,4.48373,20000,8.07152,1
1_16,1,16,217.508,135.016,4.48373,20000,8.39186,1
1_16,1,16,217.508,135.016,4.48373,20000,8.06274,1
1_16,1,16,217.508,135.016,4.48373,20000,8.13566,1
1_16,1,16,215.356,130.712,4.37613,20000,8.09912,1
1_17,1,17,290.633,181.266,5.84832,20000,9.32101,1
1_17,1,17,290.633,181.266,5.84832,20000,9.34911,1
1_17,1,17,290.481,180.963,5.84074,20000,9.47296,1
1_17,1,17,290.633,181.266,5.84832,20000,9.40447,1
1_17,1,17,289.81,179.619,5.80714,20000,10.0009,1
1_17,1,17,291.775,183.549,5.9054,20000,9.24382,1
1_17,1,17,291.623,183.246,5.89783,20000,9.33707,1
1_17,1,17,291.775,183.549,5.9054,20000,9.98968,1
1_17,1,17,291.775,183.549,5.9054,20000,9.30642,1
1_17,1,17,290.633,181.266,5.84832,20000,9.32629,1
1_18,1,18,263.075,126.149,4.46206,20000,11.1415,1
1_18,1,18,262.1,124.2,4.41334,20000,9.73067,1
1_18,1,18,259.707,119.414,4.29367,20000,11.0306,1
1_18,1,18,262.1,124.2,4.41334,20000,9.70187,1
1_18,1,18,263.075,126.149,4.46206,20000,9.89073,1
1_18,1,18,261.508,123.016,4.38372,20000,9.69634,1
1_18,1,18,261.508,123.016,4.38372,20000,10.9065,1
1_18,1,18,263.075,126.149,4.46206,20000,10.2709,1
1_18,1,18,263.075,126.149,4.46206,20000,10.3794,1
1_18,1,18,263.075,126.149,4.46206,20000,10.0412,1
1_19,1,19,217.611,135.222,4.81387,20000,9.14496,1
1_19,1,19,221.576,143.151,5.01212,20000,8.75313,1
1_19,1,19,219.438,138.877,4.90525,20000,8.69136,1
1_19,1,19,217.431,134.862,4.80487,20000,8.91051,1
1_19,1,19,219.755,139.509,4.92106,20000,8.96187,1
1_19,1,19,221.796,143.592,5.02312,20000,9.04913,1
1_19,1,19,221.737,143.473,5.02016,20000,8.93872,1
1_19,1,19,222.062,144.124,5.03644,20000,9.05312,1
1_19,1,19,220.86,141.719,4.97632,20000,8.92964,1
1_19,1,19,220.082,140.164,4.93744,20000,8.9349,1
1_20,1,20,237.607,175.214,5.87202,20000,9.0677,1
1_20,1,20,235.739,171.478,5.77861,20000,8.9947,1
1_20,1,20,231.93,163.86,5.58817,20000,9.04745,1
1_20,1,20,230.741,161.483,5.52873,20000,9.1401,1
1_20,1,20,239.539,179.077,5.9686,20000,9.06652,1
1_20,1,20,237.083,174.167,5.84584,20000,9.089,1
1_20,1,20,236.454,172.907,5.81435,20000,9.08514,1
1_20,1,20,233.412,166.824,5.66226,20000,9.03105,1
1_20,1,20,230.909,161.819,5.53713,20000,8.97552,1
1_20,1,20,237.29,174.58,5.85616,20000,9.1187,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.38025,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.36346,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.34484,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.34622,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.33661,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.45619,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.35045,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.45247,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.54078,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.46693,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.65802,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.63204,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.60159,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.61201,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.56695,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.55462,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.56318,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.60392,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.58097,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.60754,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.98263,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.02515,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.99177,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.96965,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.96754,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.0776,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.47604,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.9766,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.16425,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.95118,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.12334,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.1023,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.11062,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.06705,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.04939,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.0887,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.06329,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.09466,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.06597,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.08941,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.39443,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.33657,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.34213,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.37527,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.38294,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.3652,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.35818,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.35171,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.34131,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.38735,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.42426,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.47148,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.43566,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.47679,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.4375,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.52996,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.50067,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.81003,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.54979,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.45385,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.62754,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.61267,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.65013,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.65308,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.61481,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.64089,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.64671,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.65267,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.63958,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.64568,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.49923,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.52807,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.3954,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.474,1
