Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
3_18,3,18,197.5990,201.2052,1.9400,95.1974,102.4104,3.8803,3.5216,3.7019,0.0970,4.6864,5.0214,0.6771
3_19,3,19,196.8830,198.1544,0.9834,93.7664,96.3088,1.9667,3.6192,3.6827,0.0492,5.1177,6.4933,2.4656
3_20,3,20,200.4530,203.9399,2.8081,100.9070,107.8800,5.6155,3.5977,3.7720,0.1404,5.1730,5.2351,0.0616
4_5,4,5,67.3024,67.3024,0.0000,34.6048,34.6048,0.0000,1.1901,1.1901,0.0000,1.4363,1.4644,0.0182
4_6,4,6,78.0244,78.0244,0.0000,56.0488,56.0488,0.0000,1.7512,1.7512,0.0000,1.6485,1.6739,0.0230
4_7,4,7,78.1791,78.1791,0.0000,56.3583,56.3583,0.0000,1.8673,1.8673,0.0000,1.7708,1.7883,0.0105
4_8,4,8,69.6393,69.6393,0.0000,39.2787,39.2787,0.0000,1.5403,1.5403,0.0000,2.0199,2.0329,0.0110
4_9,4,9,133.7770,133.7770,0.0000,67.5543,67.5543,0.0000,2.2639,2.2639,0.0000,3.0244,3.3379,0.9307
4_10,4,10,135.0940,135.0940,0.0000,70.1870,70.1870,0.0000,2.3213,2.3213,0.0000,3.0774,3.1213,0.0319
4_11,4,11,131.3840,131.4068,0.0416,62.7671,62.8132,0.0839,2.2942,2.2953,0.0021,3.1886,3.2859,0.1085
4_12,4,12,132.3370,134.6979,1.5893,64.6747,69.3957,3.1785,2.4669,2.5849,0.0795,3.4420,3.7453,0.5980
4_13,4,13,137.1060,138.4110,1.7249,74.2122,76.8222,3.4498,2.7636,2.8289,0.0862,3.7193,4.2225,0.7612
4_14,4,14,189.7310,192.5129,2.6048,79.4616,85.0258,5.2098,3.0199,3.1590,0.1302,3.9227,4.0546,0.1773
4_15,4,15,139.1430,139.9628,0.9304,78.2859,79.9252,1.8607,2.8988,2.9398,0.0465,4.1032,4.5685,0.9540
4_16,4,16,145.4680,146.6172,0.6786,90.9360,93.2344,1.3572,3.3817,3.4392,0.0339,4.3217,5.0698,1.3790
4_17,4,17,140.5380,143.9155,2.5444,81.0761,87.8311,5.0887,3.0186,3.1874,0.1272,4.3795,4.6842,0.3287
4_18,4,18,143.2610,145.2708,2.0312,86.5212,90.5418,4.0624,3.1714,3.2719,0.1016,4.6155,4.9684,0.5617
4_19,4,19,151.1270,156.7774,3.6492,102.2540,113.5550,7.2985,3.8064,4.0889,0.1825,4.9221,5.0821,0.2823
4_20,4,20,157.4910,195.2719,13.3936,94.2449,100.5441,6.1968,3.6395,3.7969,0.1549,5.2430,6.8240,1.7921
