Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
1_14,1,14,226.55,153.1,4.88582,4658,3.82093,8
1_15,1,15,208.951,117.903,3.93924,5155,4.59165,8
1_15,1,15,210.884,121.768,4.03587,4677,4.07781,8
1_15,1,15,210.222,120.445,4.00278,4660,4.05067,8
1_15,1,15,208.951,117.903,3.93924,4693,4.03897,8
1_15,1,15,210.222,120.445,4.00278,4699,4.08036,8
1_15,1,15,208.72,117.44,3.92766,4668,4.08843,8
1_15,1,15,210.137,120.274,3.99852,4686,4.17861,8
1_15,1,15,208.539,117.079,3.91863,4699,4.12999,8
1_15,1,15,211.442,122.884,4.06377,4670,4.05361,8
1_15,1,15,210.91,121.821,4.03719,4670,4.05346,8
1_16,1,16,214.594,129.189,4.33806,5206,4.77689,8
1_16,1,16,218.206,136.412,4.51863,4707,4.36623,8
1_16,1,16,218.206,136.412,4.51863,4695,4.33362,8
1_16,1,16,218.562,137.124,4.53643,4694,4.17503,8
1_16,1,16,217.776,135.552,4.49714,4687,4.15619,8
1_16,1,16,218.206,136.412,4.51863,5181,4.63754,8
1_16,1,16,218.206,136.412,4.51863,4694,4.25361,8
1_16,1,16,217.715,135.43,4.49409,5633,5.12591,8
1_16,1,16,216.92,133.841,4.45435,4686,4.32254,8
1_16,1,16,217.715,135.43,4.49409,7218,6.48158,8
1_17,1,17,290.633,181.266,5.84832,4720,5.22937,8
1_17,1,17,293.286,186.573,5.98098,4692,5.22752,8
1_17,1,17,291.775,183.549,5.9054,4691,5.13753,8
1_17,1,17,290.633,181.266,5.84832,4698,5.23073,8
1_17,1,17,291.893,183.786,5.91131,4694,4.94575,8
1_17,1,17,291.938,183.877,5.91359,4731,5.19341,8
1_17,1,17,292.766,185.533,5.95498,4719,5.2495,8
1_17,1,17,291.36,182.719,5.88464,4706,5.18849,8
1_17,1,17,290.481,180.963,5.84074,4697,5.19251,8
1_17,1,17,291.775,183.549,5.9054,4710,5.21512,8
1_18,1,18,263.075,126.149,4.46206,4723,5.57734,8
1_18,1,18,259.707,119.414,4.29367,8188,9.46834,8
1_18,1,18,263.075,126.149,4.46206,4718,5.60689,8
1_18,1,18,263.554,127.107,4.48601,4719,5.48776,8
1_18,1,18,263.075,126.149,4.46206,4714,5.57315,8
1_18,1,18,262.617,125.234,4.43919,4701,5.16462,8
1_18,1,18,262.973,125.946,4.45699,4724,5.19555,8
1_18,1,18,262.224,124.448,4.41954,4728,5.23172,8
1_18,1,18,263.565,127.131,4.4866,4709,5.1661,8
1_18,1,18,262.224,124.448,4.41954,4704,5.20404,8
1_19,1,19,231.396,162.792,5.50313,4707,4.75164,8
1_19,1,19,228.777,157.554,5.37218,4706,4.71561,8
1_19,1,19,226.171,152.341,5.24187,4754,4.6884,8
1_19,1,19,225.743,151.486,5.22049,4713,4.79214,8
1_19,1,19,238.057,176.114,5.8362,4717,4.78155,8
1_19,1,19,261.792,123.583,4.52291,4716,5.55168,8
1_19,1,19,268.085,136.169,4.83756,4720,5.45402,8
1_19,1,19,268.753,137.506,4.87098,4727,5.56437,8
1_19,1,19,265.663,131.326,4.71648,4745,5.65234,8
1_19,1,19,261.792,123.583,4.52291,4736,5.49519,8
1_20,1,20,280.938,161.875,5.53855,4737,5.88833,8
1_20,1,20,282.004,164.009,5.59189,4736,5.78005,8
1_20,1,20,277.672,155.344,5.37527,4748,5.84612,8
1_20,1,20,278.673,157.346,5.42533,4730,5.87249,8
1_20,1,20,281.326,162.653,5.55799,4740,5.588,8
1_20,1,20,284.242,168.484,5.70376,4754,5.89011,8
1_20,1,20,282.02,164.039,5.59264,4763,5.77334,8
1_20,1,20,277.604,155.209,5.37189,8034,9.76797,8
1_20,1,20,280.966,161.931,5.53995,4791,5.72566,8
1_20,1,20,282.348,164.697,5.60908,4739,5.66363,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.46181,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.40462,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.3952,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.42586,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.42842,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.44821,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.44978,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.50896,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.49922,8
2_5,2,5,75.5919,51.1838,1.55459,4570,1.60201,8
2_6,2,6,68.4019,36.8039,1.3701,4580,2.05855,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.61676,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.716,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.76093,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.70165,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.64199,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.72971,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.70691,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.63495,8
2_6,2,6,68.4019,36.8039,1.3701,4580,1.54449,8
2_7,2,7,123.973,47.9462,1.63199,4595,2.45447,8
2_7,2,7,123.973,47.9462,1.63199,4592,2.4506,8
2_7,2,7,125.542,51.0834,1.71042,4590,2.48098,8
2_7,2,7,125.542,51.0834,1.71042,4590,2.51075,8
2_7,2,7,125.542,51.0834,1.71042,4590,2.77939,8
2_7,2,7,123.973,47.9462,1.63199,4601,2.63036,8
2_7,2,7,125.542,51.0834,1.71042,4590,2.7106,8
2_7,2,7,125.542,51.0834,1.71042,4590,2.48543,8
2_7,2,7,125.542,51.0834,1.71042,4590,2.48686,8
2_7,2,7,123.973,47.9462,1.63199,4596,2.48723,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.97857,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.97592,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.96689,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.95834,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.97241,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.97903,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.95973,8
2_8,2,8,78.4441,56.8882,2.00554,4600,1.96607,8
