Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
3_18,3,18,197.5990,198.2672,0.8001,95.1974,96.5338,1.6000,3.5216,3.5550,0.0400,8.5596,8.8999,0.2823
3_19,3,19,196.8290,197.8174,0.7756,93.6571,95.6346,1.5512,3.6164,3.6659,0.0388,9.3205,9.7272,0.5649
3_20,3,20,197.1010,200.0740,1.6059,94.2014,100.1484,3.2120,3.4300,3.5787,0.0803,9.5906,9.8103,0.1861
4_5,4,5,67.3024,67.3024,0.0000,34.6048,34.6048,0.0000,1.1901,1.1901,0.0000,2.3764,2.4066,0.0152
4_6,4,6,78.0244,78.0244,0.0000,56.0488,56.0488,0.0000,1.7512,1.7512,0.0000,2.6144,2.6406,0.0220
4_7,4,7,78.1791,78.1791,0.0000,56.3583,56.3583,0.0000,1.8673,1.8673,0.0000,2.8472,3.1224,0.2660
4_8,4,8,69.6393,69.6393,0.0000,39.2787,39.2787,0.0000,1.5403,1.5403,0.0000,3.1418,3.1763,0.0307
4_9,4,9,133.7770,133.7770,0.0000,67.5543,67.5543,0.0000,2.2639,2.2639,0.0000,4.6171,4.6552,0.0366
4_10,4,10,135.0940,135.0940,0.0000,70.1870,70.1870,0.0000,2.3213,2.3213,0.0000,6.0340,6.2517,0.1606
4_11,4,11,131.3470,131.3507,0.0117,62.6934,62.7008,0.0233,2.2923,2.2925,0.0006,6.2242,6.3039,0.0746
4_12,4,12,132.3370,132.3370,0.0000,64.6747,64.6747,0.0000,2.4669,2.4669,0.0000,6.6617,6.7671,0.0808
4_13,4,13,137.1060,137.1060,0.0000,74.2122,74.2122,0.0000,2.7636,2.7636,0.0000,6.8524,6.9621,0.0706
4_14,4,14,188.9820,190.1265,0.7898,77.9643,80.2534,1.5797,2.9824,3.0397,0.0395,7.3077,7.8945,0.3182
4_15,4,15,139.1430,139.1430,0.0000,78.2859,78.2859,0.0000,2.8988,2.8988,0.0000,7.9611,8.0627,0.0516
4_16,4,16,141.9630,142.1884,0.4752,83.9254,84.3764,0.9509,3.2065,3.2177,0.0238,7.8924,7.9758,0.0723
4_17,4,17,140.5380,141.0663,0.6049,81.0761,82.1326,1.2095,3.0186,3.0450,0.0302,8.2187,8.5144,0.2362
4_18,4,18,143.6860,144.0907,0.3848,87.3715,88.1814,0.7702,3.1926,3.2129,0.0193,8.6686,8.8920,0.1958
4_19,4,19,149.8330,150.9944,0.5072,99.6669,101.9889,1.0143,3.7417,3.7997,0.0254,8.9179,9.0696,0.1172
4_20,4,20,149.8980,153.3365,2.0647,99.7969,106.6729,4.1292,3.7783,3.9502,0.1032,9.2853,9.3412,0.0409
